Price 10^3 TMT,Brands,Models,Year,Place,Pubtime
695.0,Toyota,Sienna,2022,Ашхабад,1753427425.948607
650.0,BMW,X6,2015,Ашхабад,1753420225.948607
625.0,Mercedes-Benz,GLE-Class,2015,Ашхабад,1753449025.948607
494.0,Toyota,Avalon,2017,Ашхабад,1753449025.948607
1400.0,BMW,8,2023,Ашхабад,1753247425.948607
630.0,Toyota,Sienna,2022,Ашхабад,1753449025.948607
515.0,Mercedes-Benz,CLS-Class,2012,Ашхабад,1753038000.0
490.0,Toyota,Camry,2018,Ашхабад,1753438225.948607
459.0,Toyota,Sienna,2021,Ашхабад,1753333825.948607
1650.0,BMW,X5,2024,Ашхабад,1752951600.0
429.0,Toyota,Tacoma,2023,Ашхабад,1752433200.0
685.0,Ford,Expedition,2021,Ашхабад,1753438225.948607
695.0,Toyota,Highlander,2023,Ашхабад,1753420225.948607
799.0,Ford,Expedition,2023,Ашхабад,1752865200.0
525.0,Toyota,Highlander,2018,Ашхабад,1753420225.948607
686.0,Toyota,Hilux,2025,Ашхабад,1753420225.948607
561.0,Toyota,Highlander,2020,Ашхабад,1753470625.948607
650.0,Lexus,ES,2019,Ашхабад,1753247425.948607
780.0,BMW,340,2021,Ашхабад,1753420225.948607
1462.5,BMW,X4,2020,Ашхабад,1753333825.948607
1657.0,BMW,8,2021,Ашхабад,1753333825.948607
2500.0,Mercedes-Benz,CLS-Class,2018,Ашхабад,1753333825.948607
1657.0,BMW,X6,2020,Ашхабад,1753333825.948607
1267.5,BMW,X6,2020,Ашхабад,1753333825.948607
410.0,Toyota,Highlander,2016,Ашхабад,1753467025.948607
450.0,Toyota,Highlander,2016,Ашхабад,1753420225.948607
440.0,Kia,Sorento,2021,Ашхабад,1753452625.948607
790.0,Toyota,Land,2008,Ашхабад,1753420225.948607
710.0,Toyota,Camry,2023,Ашхабад,1753441825.948607
700.0,BMW,540,2018,Ашхабад,1753247425.948607
1500.0,BMW,X6,2020,Ашхабад,1753438225.948607
310.0,Toyota,Camry,2019,Ашхабад,1753438225.948607
170.0,BMW,530,2002,Ашхабад,1753247425.948607
475.0,Toyota,Sienna,2022,Ашхабад,1751828400.0
390.0,Toyota,Camry,2020,Ашхабад,1753470625.948607
129.0,Toyota,Corolla,2009,Ашхабад,1753459825.948607
185.0,Toyota,Corolla,2017,Ашхабад,1753459825.948607
